01/01/2022,New Year,y
02/01/2022,New Year,y
08/02/2022,Prešeren Day,y
17/04/2022,Easter Sunday,o
18/04/2022,Easter Monday,o
27/04/2022,Resistance Day,y
01/05/2022,May Day,y
02/05/2022,May Day,y
25/06/2022,National Day,y
15/08/2022,Assumption Day,y
31/10/2022,Reformation Day,y
01/11/2022,All Saints' Day,y
25/12/2022,Christmas Day,y
26/12/2022,Independence and Unity Day,y
